sharpness,exposure,contrast,color_balance,effective_resolution,framing,coherence,rho,p_value,kind
0.0881183734198542,0.10412326326105113,0.11728396044700688,0.08404777970081047,0.047694232314013055,0.4138591120581782,0.14487327879908607,0.7129804386073458,6.278703437635224e-09,random
0.12578128170871056,0.0996299700735719,0.11271672378791006,0.1331701415258007,0.022139740367939618,0.5027168752524743,0.0038452672835927425,0.7094534634756567,8.047953573929001e-09,random
0.09628482919714625,0.07711137878077214,0.1513327209522376,0.050877392183206825,0.05388643180208529,0.4917759413914873,0.07873130569306468,0.7089220014695118,8.352076364152843e-09,random
0.06831120701440964,0.12289094143452597,0.10654903806964554,0.051901737490399745,0.047719943802117394,0.4617362775233001,0.1408908546656017,0.708680427830355,8.49385736802562e-09,random
0.09975252652911408,0.10196369357741424,0.15679744023762007,0.10195113471294566,0.01762656630226823,0.5134394078245083,0.00846923081612947,0.7079073921850534,8.96291658193135e-09,random
0.22215682466708941,0.014286265826494345,0.1380324605155097,0.1494754526820499,0.033911274237806266,0.3216709754048833,0.1204667466661669,0.7046219906925211,1.1241751740604932e-08,random
0.24495109188168576,0.06938824449582613,0.13624640710301386,0.036417000396757895,0.08692352004972463,0.3939411757914245,0.032132560281567156,0.7035590666802312,1.2088715988424562e-08,random
0.06555088039152844,0.02102921627420996,0.21753857620083647,0.05307244340511314,0.0698750923941045,0.5376246068588478,0.035309184475359585,0.7018197364783023,1.3605219322545493e-08,random
0.18678512780669093,0.09167910632284738,0.11641652886547071,0.12418744155426592,0.07602539468373426,0.40204368963058973,0.002862711136401162,0.7000804062763734,1.5299157439852977e-08,random
0.11852587217274467,0.08248156156484109,0.14396874981830332,0.0439978826355845,0.10146893652494027,0.4084710605822782,0.10108593670130799,0.700032091548542,1.5348925430067006e-08,random
0.0452855199868291,0.10258433038199571,0.15680263220876828,0.01605161059033978,0.10402014737636996,0.4697557679047371,0.10549999155095999,0.6996938884537225,1.5701583624674153e-08,random
0.12246924776407732,0.1250244956788415,0.11533882387680891,0.005154639233398228,0.05783217561107546,0.5577656021174607,0.016415015718337783,0.6994040000867343,1.600990650979907e-08,random
0.2718902188304438,0.05720263465108358,0.1353112691293128,0.02786729533770311,0.09253894501717627,0.3859411367396566,0.029248500294624037,0.698389390802276,1.7134417683519322e-08,random
0.22108779913198834,0.01888568594179456,0.11901791788793359,0.04787660765013487,0.05549628155432185,0.31331676175750667,0.22431894607632016,0.6961185985942022,1.992565404529908e-08,random
0.07518048042866769,0.13491357851552666,0.08731414595036918,0.07078444190814437,0.015664719290720833,0.4275712390475973,0.18857139485897406,0.6953938776767318,2.0902804090965183e-08,random
0.21440925063710142,0.033003383332963175,0.14586883711589385,0.0394299394215959,0.11087137376844404,0.3537586262797281,0.10265858944427345,0.6950073598540809,2.144217472411192e-08,random
0.1347867030766758,0.11162880733715691,0.08512272697079709,0.12118107122947061,0.035080235435134485,0.4140042358242114,0.0981962201265536,0.6941376947531164,2.2703913879403815e-08,random
0.18361221646819295,0.08537952669549506,0.13396380726121326,0.012531796054310608,0.11949611748610389,0.39207036142393653,0.07294617461074768,0.694089380025285,2.2776015045819195e-08,random
0.09126973710899841,0.10829674735225037,0.10461610274334532,0.10214868001264556,0.048166293477195275,0.48459713097760293,0.06090530832796208,0.6936545474748028,2.3434669754411663e-08,random
0.07715640248098683,0.11188616231245056,0.16956489557925203,0.001576381654154446,0.03892949755625847,0.5309183186751891,0.06996834174170848,0.6931714001964893,2.4187464165507597e-08,random
0.16478758104045452,0.1374714272426527,0.07934256254827642,0.05840659291614679,0.027506033263853723,0.5099022998753732,0.022583503113242746,0.6896927397926315,3.031649921815667e-08,random
0.0893608264519069,0.08401537146495847,0.19414364836767342,0.020372068479951867,0.03716775207327499,0.4923506077924765,0.08258972536975785,0.687615206495883,3.464306277862644e-08,random
0.10158856913744647,0.09840092184087086,0.0513634445687211,0.03863022724027643,0.021565279556358653,0.36850537626685953,0.3199461813894668,0.6866972266670873,3.6733744917012554e-08,random
0.10771760822257027,0.05978947666888496,0.10767608326217339,0.01004166908900594,0.01813205035803891,0.43384641524719136,0.2627966971521352,0.6859725057496171,3.846728051039231e-08,random
0.19834770626849701,0.08019905546105549,0.06865591526406288,0.03498768583689659,0.03913952950398795,0.4115441576953912,0.16712594997010893,0.685441043743472,3.9786995636900265e-08,random
0.2996992548479037,0.026403925299366575,0.13960539428959517,0.026268249212803234,0.06953682171378188,0.4191469489987593,0.019339405637789964,0.6850062111929898,4.089822705195908e-08,random
0.04388339866417414,0.11716686629145247,0.12169745247706043,0.09837925578934345,0.02417944740323503,0.4277522039754438,0.16694137539929074,0.6846196933703389,4.1910362289740814e-08,random
0.17244276722522306,0.07178142562251931,0.07592688912110117,0.017471115978781166,0.05186999267681145,0.3996613260871704,0.2108464832883933,0.6830253073519043,4.633899005224253e-08,random
0.05949285130015394,0.06945669535098739,0.14178332481881528,0.0067173822105873,0.17741230914520317,0.409920739708562,0.13521669746569082,0.682203956978771,4.878812434498866e-08,random
